model,year,region,color,fuel_type,base_price_usd,horsepower,sales_volume,turbo
GLE,2024,Global,Grey,Petrol,73234,305,1,No
C-Class,2021,Global,Black,Petrol,63616,244,1,Yes
GLB,2020,Global,Black,Petrol,44207,386,1,Yes
S-Class,2023,Global,Green,Diesel,343901,692,1,Yes
GLE,2025,Global,Blue,Petrol,124893,580,1,Yes
GLA,2025,Global,Blue,Petrol,86517,260,1,Yes
CLA,2025,Global,Green,Hybrid,42166,323,1,Yes
GLA,2022,Global,White,Hybrid,82880,259,1,Yes
GLS,2023,Global,Silver,Petrol,205530,558,1,Yes
GLB,2024,Global,White,Petrol,49770,404,1,Yes
E-Class,2023,Global,Black,Hybrid,60747,251,1,Yes
C-Class,2024,Global,Blue,Electric,66140,308,1,Yes
CLA,2022,Global,Grey,Hybrid,76791,260,1,Yes
AMG GT,2023,Global,Grey,Petrol,290070,694,1,Yes
GLA,2024,Global,White,Hybrid,92549,182,1,Yes
GLA,2025,Global,Silver,Electric,48870,253,1,Yes
GLC,2024,Global,Black,Hybrid,74324,344,1,Yes
GLB,2020,Global,White,Petrol,71527,301,1,Yes
CLA,2025,Global,Silver,Electric,93621,282,1,Yes
A-Class,2021,Global,Silver,Diesel,70830,406,1,Yes
C-Class,2020,Global,Brown,Petrol,84651,303,1,Yes
AMG A 45,2025,Global,White,Diesel,207405,409,1,Yes
C-Class,2021,Global,White,Hybrid,53655,201,1,Yes
C-Class,2024,Global,Grey,Petrol,88735,497,1,Yes
C-Class,2021,Global,Grey,Petrol,53157,403,1,Yes
GLS,2025,Global,Grey,Electric,148316,476,1,Yes
GLC,2020,Global,White,Petrol,61195,310,1,Yes
C-Class,2023,Global,Black,Diesel,49039,395,1,No
A-Class,2024,Global,White,Petrol,48316,224,1,Yes
E-Class,2021,Global,Silver,Petrol,70226,237,1,Yes
GLC,2021,Global,Black,Diesel,140107,297,1,No
GLC,2024,Global,Black,Hybrid,123882,285,1,Yes
A-Class,2020,Global,Black,Hybrid,45351,401,1,Yes
CLA,2023,Global,Blue,Diesel,49070,273,1,No
C-Class,2025,Global,Blue,Hybrid,104428,225,1,Yes
A-Class,2024,Global,Grey,Petrol,50698,159,1,Yes
GLC,2024,Global,Black,Hybrid,100288,329,1,Yes
GLE,2022,Global,Silver,Petrol,68371,434,1,Yes
C-Class,2022,Global,White,Hybrid,67565,474,1,No
E-Class,2021,Global,White,Petrol,58442,427,1,No
GLE,2022,Global,Black,Petrol,142735,305,1,Yes
CLA,2025,Global,White,Electric,95991,260,1,Yes
E-Class,2024,Global,Silver,Petrol,46578,231,1,No
A-Class,2024,Global,Grey,Diesel,84910,328,1,Yes
CLA,2021,Global,Grey,Petrol,45592,276,1,No
GLC,2023,Global,White,Petrol,116685,254,1,No
A-Class,2020,Global,White,Petrol,76431,338,1,Yes
GLA,2020,Global,Black,Hybrid,65424,255,1,Yes
GLB,2024,Global,Grey,Diesel,91223,390,1,Yes
GLA,2020,Global,Grey,Petrol,51839,271,1,Yes
GLC,2023,Global,White,Petrol,77584,469,1,Yes
GLA,2022,Global,Black,Petrol,48870,313,1,Yes
GLC,2021,Global,Black,Petrol,115899,483,1,Yes
GLB,2022,Global,White,Petrol,82985,241,1,Yes
A-Class,2020,Global,Grey,Diesel,59656,403,1,Yes
GLA,2022,Global,White,Hybrid,72529,261,1,No
GLE,2022,Global,Grey,Hybrid,146694,465,1,Yes
C-Class,2023,Global,Blue,Hybrid,94427,374,1,Yes
A-Class,2022,Global,White,Diesel,89446,258,1,Yes
GLA,2022,Global,Grey,Diesel,92048,198,1,Yes
GLC,2024,Global,Black,Hybrid,71691,242,1,Yes
GLE,2022,Global,Silver,Hybrid,78487,462,1,Yes
GLE,2024,Global,Black,Electric,80185,396,1,No
GLA,2022,Global,Silver,Hybrid,72960,420,1,Yes
GLA,2023,Global,Brown,Petrol,72727,377,1,Yes
CLA,2024,Global,Blue,Electric,46655,337,1,Yes
A-Class,2020,Global,Silver,Petrol,45823,180,1,Yes
CLA,2020,Global,Blue,Diesel,87254,304,1,Yes
GLE,2024,Global,White,Hybrid,160735,576,1,Yes
GLB,2022,Global,Black,Petrol,38221,329,1,Yes
GLC,2021,Global,Grey,Petrol,131951,387,1,Yes
GLA,2025,Global,Grey,Electric,48252,320,1,Yes
A-Class,2022,Global,Silver,Petrol,37693,337,1,Yes
GLC,2021,Global,Yellow,Petrol,71784,405,1,Yes
CLS,2020,Global,Black,Petrol,82029,366,1,Yes
E-Class,2021,Global,Grey,Petrol,74261,234,1,No
E-Class,2024,Global,Black,Hybrid,51822,358,1,Yes
GLS,2022,Global,Blue,Petrol,334992,524,1,Yes
GLC,2021,Global,White,Diesel,68517,235,1,Yes
GLB,2021,Global,Grey,Diesel,38119,393,1,Yes
GLC,2025,Global,White,Petrol,100329,298,1,Yes
GLC,2023,Global,Yellow,Hybrid,97436,493,1,Yes
GLE,2021,Global,Silver,Petrol,128861,597,1,Yes
GLE,2020,Global,Blue,Petrol,84658,422,1,No
C-Class,2021,Global,Black,Diesel,86826,495,1,Yes
CLA,2020,Global,Blue,Petrol,86094,262,1,Yes
A-Class,2025,Global,Blue,Hybrid,67442,360,1,Yes
E-Class,2021,Global,Silver,Diesel,50004,308,1,Yes
GLC,2024,Global,Blue,Electric,161716,282,1,Yes
GLB,2024,Global,Black,Hybrid,66275,200,1,Yes
GLB,2022,Global,Black,Diesel,72227,409,1,Yes
GLE,2021,Global,White,Petrol,98092,561,1,Yes
A-Class,2021,Global,Black,Hybrid,92709,213,1,Yes
GLC,2023,Global,Silver,Electric,154924,330,1,Yes
GLE,2025,Global,Black,Electric,151567,402,1,Yes
GLE,2022,Global,Silver,Petrol,65823,274,1,Yes
GLE,2022,Global,Blue,Petrol,75720,513,1,Yes
GLC,2021,Global,Black,Petrol,82330,439,1,Yes
GLB,2025,Global,Yellow,Electric,70279,182,1,Yes
A-Class,2025,Global,White,Hybrid,66049,296,1,Yes
GLC,2023,Global,White,Diesel,85601,302,1,Yes
GLA,2020,Global,White,Diesel,67798,420,1,Yes
C-Class,2020,Global,White,Petrol,66228,448,1,No
A-Class,2023,Global,Silver,Diesel,82354,196,1,Yes
GLC,2022,Global,Blue,Petrol,109818,341,1,Yes
GLC,2024,Global,Grey,Electric,104410,419,1,Yes
GLE,2024,Global,Silver,Petrol,120397,368,1,Yes
GLC,2021,Global,Grey,Diesel,79084,498,1,Yes
GLB,2022,Global,Red,Diesel,58792,214,1,No
GLC,2020,Global,Black,Petrol,148363,211,1,No
E-Class,2021,Global,Grey,Petrol,89911,612,1,Yes
A-Class,2020,Global,Grey,Petrol,63886,381,1,Yes
GLB,2023,Global,White,Petrol,82305,285,1,Yes
C-Class,2025,Global,Black,Electric,59368,507,1,Yes
S-Class,2023,Global,Blue,Electric,358259,711,1,Yes
A-Class,2020,Global,Silver,Diesel,49968,389,1,Yes
CLS,2022,Global,White,Diesel,91200,327,1,Yes
GLC,2020,Global,Silver,Petrol,137205,362,1,No
AMG C 63,2023,Global,Grey,Diesel,234667,501,1,Yes
GLA,2020,Global,Grey,Petrol,84770,321,1,No
C-Class,2020,Global,Blue,Petrol,53860,309,1,Yes
A-Class,2023,Global,Black,Petrol,76899,238,1,Yes
A-Class,2022,Global,Green,Diesel,69865,187,1,Yes
C-Class,2023,Global,Grey,Petrol,54000,365,1,Yes
GLE,2023,Global,White,Petrol,107348,481,1,Yes
E-Class,2022,Global,Grey,Electric,60414,415,1,No
A-Class,2023,Global,Silver,Petrol,98073,372,1,No
C-Class,2021,Global,Grey,Petrol,43240,222,1,Yes
C-Class,2022,Global,White,Diesel,78569,322,1,Yes
GLC,2023,Global,Black,Hybrid,149360,323,1,No
GLE,2020,Global,White,Diesel,145389,543,1,Yes
A-Class,2021,Global,White,Petrol,49769,354,1,Yes
A-Class,2020,Global,Black,Diesel,75323,402,1,Yes
GLB,2021,Global,Blue,Petrol,86349,360,1,Yes
C-Class,2020,Global,Blue,Diesel,54295,392,1,Yes
GLB,2024,Global,Yellow,Hybrid,91496,214,1,Yes
GLC,2023,Global,Grey,Electric,144642,468,1,Yes
AMG E 63,2021,Global,Silver,Petrol,358032,599,1,Yes
AMG A 45,2023,Global,Black,Petrol,265688,397,1,Yes
S-Class,2023,Global,Blue,Hybrid,250625,351,1,Yes
C-Class,2025,Global,Grey,Diesel,99175,339,1,Yes
GLE,2024,Global,Blue,Electric,117986,260,1,Yes
C-Class,2024,Global,Yellow,Diesel,79550,358,1,Yes
AMG C 63,2025,Global,Blue,Electric,270460,494,1,Yes
GLB,2021,Global,White,Petrol,42732,222,1,Yes
GLE,2022,Global,Silver,Diesel,108702,550,1,Yes
E-Class,2021,Global,Black,Petrol,54793,547,1,Yes
GLC,2020,Global,Black,Petrol,104493,298,1,No
GLE,2020,Global,Black,Petrol,114376,381,1,Yes
E-Class,2025,Global,White,Electric,59646,389,1,Yes
A-Class,2020,Global,Silver,Petrol,48699,258,1,No
A-Class,2020,Global,Black,Petrol,82458,345,1,Yes
GLA,2023,Global,Red,Diesel,51188,234,1,Yes
GLE,2025,Global,Silver,Electric,165154,401,1,Yes
C-Class,2022,Global,Silver,Hybrid,54666,388,1,Yes
GLC,2020,Global,Black,Diesel,130234,319,1,Yes
GLC,2020,Global,Silver,Petrol,95232,281,1,Yes
GLE,2023,Global,White,Hybrid,118632,330,1,Yes
S-Class,2023,Global,Red,Diesel,268257,711,1,Yes
GLE,2020,Global,Black,Petrol,83064,404,1,Yes
GLE,2023,Global,Silver,Petrol,158307,265,1,Yes
G-Class,2025,Global,Silver,Diesel,269962,504,1,Yes
C-Class,2023,Global,Black,Petrol,45314,425,1,Yes
A-Class,2021,Global,White,Petrol,47888,417,1,Yes
GLC,2023,Global,Red,Diesel,88551,273,1,No
GLA,2022,Global,Silver,Petrol,89206,194,1,Yes
C-Class,2025,Global,Orange,Electric,98516,336,1,Yes
A-Class,2021,Global,White,Diesel,78760,262,1,Yes
GLA,2022,Global,White,Petrol,46081,371,1,Yes
GLC,2024,Global,Grey,Electric,126855,236,1,Yes
E-Class,2022,Global,Grey,Petrol,61739,434,1,No
C-Class,2021,Global,Silver,Diesel,80282,427,1,Yes
E-Class,2022,Global,Blue,Diesel,44724,309,1,Yes
E-Class,2023,Global,Silver,Petrol,97851,518,1,Yes
GLA,2022,Global,Black,Diesel,91634,255,1,Yes
GLC,2025,Global,Yellow,Diesel,77777,218,1,Yes
GLC,2020,Global,White,Petrol,81056,242,1,Yes
E-Class,2021,Global,Yellow,Petrol,87983,500,1,Yes
AMG A 45,2024,Global,Blue,Petrol,252765,413,1,Yes
CLA,2020,Global,Brown,Diesel,68822,248,1,Yes
GLE,2021,Global,White,Diesel,149206,334,1,Yes
GLC,2021,Global,Grey,Petrol,98527,380,1,Yes
A-Class,2023,Global,Black,Diesel,94909,403,1,Yes
A-Class,2024,Global,Grey,Hybrid,79358,349,1,No
GLA,2023,Global,Blue,Petrol,61407,271,1,Yes
E-Class,2020,Global,Silver,Petrol,35412,560,1,Yes
A-Class,2023,Global,White,Diesel,67624,171,1,Yes
C-Class,2022,Global,White,Petrol,38675,297,1,Yes
GLE,2020,Global,Grey,Diesel,88611,527,1,Yes
GLA,2023,Global,Black,Electric,92152,204,1,No
GLA,2024,Global,Black,Petrol,43331,399,1,Yes
A-Class,2025,Global,White,Diesel,42963,157,1,Yes
GLA,2023,Global,Blue,Hybrid,96672,393,1,Yes
GLE,2025,Global,Yellow,Electric,165934,274,1,Yes
GLS,2024,Global,Red,Hybrid,203515,424,1,Yes
E-Class,2024,Global,Green,Petrol,93478,289,1,Yes
GLE,2024,Global,White,Petrol,168892,500,1,No
GLE,2020,Global,Red,Petrol,135725,522,1,Yes
GLA,2022,Global,White,Petrol,77543,239,1,Yes
GLS,2023,Global,Brown,Petrol,294587,485,1,Yes
GLC,2023,Global,White,Electric,117820,423,1,Yes
S-Class,2023,Global,Yellow,Petrol,301566,317,1,No
E-Class,2020,Global,White,Petrol,72715,331,1,Yes
GLE,2025,Global,White,Hybrid,104052,501,1,Yes
GLC,2022,Global,White,Petrol,77486,244,1,Yes
S-Class,2024,Global,Black,Petrol,294800,710,1,Yes
GLB,2024,Global,Silver,Diesel,90658,380,1,Yes
GLB,2023,Global,Silver,Diesel,44983,288,1,Yes
E-Class,2021,Global,Grey,Petrol,37007,611,1,Yes
GLC,2025,Global,Silver,Hybrid,164917,314,1,Yes
S-Class,2024,Global,Black,Electric,212857,497,1,Yes
C-Class,2025,Global,Black,Hybrid,84838,479,1,Yes
GLC,2022,Global,Grey,Petrol,156391,505,1,Yes
E-Class,2025,Global,White,Petrol,44586,385,1,No
A-Class,2021,Global,Black,Petrol,83882,206,1,Yes
GLB,2025,Global,Grey,Electric,96774,208,1,No
GLS,2022,Global,Red,Petrol,153198,525,1,No
E-Class,2023,Global,Grey,Hybrid,88581,598,1,Yes
GLB,2024,Global,Black,Petrol,80501,307,1,Yes
C-Class,2022,Global,Black,Hybrid,72800,338,1,No
GLE,2023,Global,White,Hybrid,69789,568,1,Yes
GLC,2021,Global,White,Petrol,105318,248,1,Yes
GLS,2021,Global,Silver,Petrol,160340,387,1,No
C-Class,2023,Global,White,Diesel,86415,326,1,No
E-Class,2025,Global,White,Electric,80379,297,1,Yes
A-Class,2023,Global,White,Petrol,55048,190,1,Yes
S-Class,2025,Global,White,Electric,218138,444,1,Yes
GLE,2025,Global,Green,Hybrid,81616,285,1,Yes
GLB,2025,Global,White,Hybrid,90853,417,1,Yes
GLC,2021,Global,White,Diesel,90125,352,1,Yes
E-Class,2024,Global,Red,Electric,56757,311,1,No
AMG GT,2020,Global,White,Diesel,273912,764,1,Yes
GLC,2024,Global,White,Electric,157529,447,1,Yes
GLB,2022,Global,Black,Diesel,59755,275,1,Yes
AMG GT,2025,Global,Silver,Hybrid,355446,576,1,Yes
CLA,2022,Global,Blue,Petrol,42855,371,1,Yes
GLA,2024,Global,White,Diesel,101391,323,1,Yes
GLC,2021,Global,Silver,Petrol,151665,413,1,Yes
GLS,2020,Global,Black,Petrol,175249,402,1,No
A-Class,2022,Global,White,Petrol,71166,320,1,No
C-Class,2022,Global,Yellow,Hybrid,84998,207,1,Yes
A-Class,2022,Global,White,Petrol,80730,331,1,No
GLC,2021,Global,White,Diesel,104668,261,1,Yes
G-Class,2021,Global,White,Hybrid,188857,425,1,Yes
GLC,2022,Global,Black,Hybrid,146474,206,1,Yes
GLA,2022,Global,Black,Diesel,70437,410,1,Yes
GLA,2023,Global,Black,Diesel,50063,233,1,Yes
A-Class,2020,Global,White,Diesel,68182,271,1,Yes
C-Class,2020,Global,Orange,Petrol,53692,311,1,Yes
GLS,2022,Global,White,Diesel,339289,481,1,Yes
GLE,2021,Global,Black,Petrol,85814,476,1,Yes
GLC,2020,Global,Red,Petrol,117939,284,1,No
E-Class,2024,Global,Grey,Petrol,92314,416,1,Yes
GLE,2023,Global,Grey,Petrol,129640,356,1,Yes
C-Class,2020,Global,Black,Diesel,53448,416,1,Yes
A-Class,2022,Global,Green,Petrol,74901,278,1,Yes
C-Class,2021,Global,Black,Diesel,41349,234,1,Yes
GLS,2020,Global,Black,Petrol,251789,350,1,Yes
GLC,2024,Global,Black,Electric,113303,222,1,No
GLS,2021,Global,Yellow,Petrol,177353,435,1,Yes
CLS,2023,Global,Silver,Petrol,60337,320,1,Yes
CLA,2020,Global,White,Petrol,76309,314,1,Yes
GLA,2024,Global,Blue,Electric,66419,191,1,No
AMG C 63,2023,Global,Grey,Diesel,145550,502,1,Yes
GLA,2022,Global,Black,Petrol,41484,286,1,Yes
C-Class,2024,Global,Green,Electric,63171,286,1,Yes
C-Class,2020,Global,White,Petrol,57343,253,1,Yes
C-Class,2020,Global,Silver,Petrol,35768,454,1,Yes
GLC,2025,Global,Silver,Hybrid,107197,428,1,Yes
GLC,2021,Global,White,Diesel,134093,361,1,Yes
GLE,2023,Global,Blue,Petrol,122419,502,1,Yes
C-Class,2023,Global,Silver,Electric,97687,216,1,Yes
E-Class,2020,Global,Grey,Diesel,72565,310,1,Yes
GLA,2023,Global,Blue,Petrol,55101,281,1,Yes
GLA,2020,Global,Black,Hybrid,84995,396,1,Yes
GLE,2022,Global,Silver,Petrol,77767,279,1,Yes
GLA,2020,Global,Black,Petrol,86711,267,1,Yes
GLB,2021,Global,Orange,Petrol,70593,226,1,Yes
GLE,2022,Global,Silver,Petrol,70913,470,1,Yes
S-Class,2024,Global,Brown,Petrol,247047,741,1,Yes
G-Class,2024,Global,White,Hybrid,158453,459,1,Yes
A-Class,2022,Global,Silver,Petrol,82174,297,1,Yes
C-Class,2025,Global,Brown,Electric,66537,345,1,Yes
CLA,2021,Global,Black,Petrol,76470,323,1,Yes
GLS,2025,Global,White,Petrol,243330,507,1,Yes
GLA,2021,Global,White,Diesel,65867,340,1,No
GLE,2025,Global,Red,Electric,113668,304,1,Yes
GLE,2022,Global,Grey,Petrol,150779,583,1,Yes
E-Class,2020,Global,White,Petrol,52614,517,1,Yes
S-Class,2024,Global,Black,Hybrid,365002,457,1,Yes
GLC,2020,Global,Black,Diesel,114251,427,1,No
A-Class,2020,Global,Black,Petrol,78494,349,1,No
C-Class,2023,Global,Blue,Diesel,39174,378,1,Yes
GLC,2022,Global,Yellow,Diesel,153862,292,1,Yes
GLC,2022,Global,Black,Petrol,135727,254,1,Yes
GLE,2021,Global,Silver,Petrol,65633,546,1,Yes
GLA,2022,Global,Grey,Petrol,51523,376,1,Yes
GLE,2021,Global,Black,Petrol,145356,432,1,Yes
A-Class,2025,Global,Orange,Electric,96244,343,1,Yes
GLB,2024,Global,Black,Petrol,82719,392,1,Yes
GLC,2020,Global,Silver,Petrol,115726,379,1,Yes
C-Class,2023,Global,Grey,Diesel,58536,480,1,Yes
A-Class,2025,Global,Silver,Petrol,84421,365,1,Yes
C-Class,2024,Global,Green,Diesel,92165,236,1,No
GLC,2023,Global,Black,Petrol,94119,493,1,Yes
GLC,2023,Global,Grey,Petrol,150984,413,1,Yes
A-Class,2023,Global,Black,Hybrid,59771,171,1,No
GLA,2025,Global,Black,Hybrid,50619,169,1,Yes
A-Class,2020,Global,Black,Diesel,61117,197,1,Yes
GLC,2025,Global,Black,Hybrid,126626,259,1,Yes
GLS,2022,Global,White,Diesel,267732,436,1,Yes
GLC,2020,Global,White,Diesel,124741,276,1,Yes
GLE,2023,Global,Black,Hybrid,66487,421,1,Yes
GLB,2025,Global,Black,Hybrid,50756,325,1,Yes
C-Class,2022,Global,Silver,Petrol,46180,266,1,No
A-Class,2022,Global,White,Petrol,70311,178,1,Yes
S-Class,2023,Global,Black,Diesel,161165,752,1,Yes
C-Class,2020,Global,Black,Petrol,41312,432,1,Yes
GLS,2023,Global,Blue,Electric,232503,350,1,No
GLB,2024,Global,Black,Hybrid,41966,190,1,No
GLC,2024,Global,Red,Diesel,100109,269,1,No
CLA,2024,Global,White,Hybrid,51833,231,1,Yes
GLA,2024,Global,Black,Petrol,53040,239,1,Yes
E-Class,2024,Global,Black,Hybrid,92264,222,1,Yes
AMG A 45,2024,Global,Blue,Diesel,260776,396,1,Yes
C-Class,2020,Global,Blue,Petrol,49508,273,1,Yes
GLE,2021,Global,Black,Hybrid,129990,557,1,Yes
S-Class,2023,Global,Black,Petrol,218010,642,1,Yes
GLC,2021,Global,Black,Petrol,73309,295,1,Yes
A-Class,2025,Global,Black,Electric,81903,396,1,Yes
S-Class,2025,Global,Black,Petrol,240809,600,1,Yes
GLE,2021,Global,Black,Hybrid,87091,440,1,Yes
