model,year,region,color,fuel_type,base_price_usd,horsepower,sales_volume,turbo
C-Class,2020,Global,White,Diesel,65712,319,1,Yes
E-Class,2022,Global,Orange,Diesel,49974,513,1,No
GLB,2025,Global,Grey,Hybrid,47023,380,1,Yes
GLC,2024,Global,Black,Petrol,81766,448,1,Yes
GLB,2022,Global,Grey,Petrol,57882,218,1,Yes
A-Class,2021,Global,White,Petrol,53639,347,1,Yes
S-Class,2023,Global,White,Petrol,245534,564,1,Yes
GLA,2024,Global,Silver,Diesel,96399,375,1,Yes
A-Class,2022,Global,Silver,Petrol,78780,381,1,Yes
GLE,2024,Global,White,Petrol,168023,386,1,Yes
GLE,2021,Global,Black,Petrol,142780,463,1,Yes
GLC,2020,Global,Black,Diesel,91677,205,1,Yes
A-Class,2024,Global,Black,Diesel,57204,287,1,Yes
A-Class,2020,Global,Brown,Diesel,64875,396,1,Yes
GLC,2024,Global,Blue,Petrol,80376,307,1,Yes
E-Class,2023,Global,Black,Hybrid,93297,528,1,Yes
GLC,2023,Global,White,Electric,116137,492,1,Yes
GLC,2023,Global,Black,Hybrid,164223,475,1,Yes
GLA,2024,Global,Blue,Diesel,47730,199,1,No
GLS,2025,Global,White,Hybrid,339220,555,1,Yes
A-Class,2021,Global,Silver,Petrol,44092,275,1,Yes
C-Class,2020,Global,Grey,Petrol,87953,423,1,Yes
C-Class,2025,Global,White,Hybrid,93942,203,1,Yes
C-Class,2025,Global,Brown,Petrol,99076,272,1,Yes
GLC,2022,Global,Grey,Diesel,100431,289,1,Yes
E-Class,2020,Global,Silver,Petrol,48963,601,1,Yes
GLE,2021,Global,Black,Petrol,87690,295,1,Yes
GLE,2023,Global,Blue,Petrol,165070,386,1,Yes
GLB,2022,Global,Grey,Petrol,57349,351,1,Yes
GLE,2024,Global,Black,Petrol,133321,550,1,Yes
C-Class,2021,Global,Blue,Diesel,91957,450,1,Yes
C-Class,2025,Global,Grey,Electric,50447,392,1,Yes
GLC,2024,Global,Black,Hybrid,125894,357,1,Yes
A-Class,2022,Global,Red,Petrol,76984,153,1,Yes
G-Class,2023,Global,Black,Diesel,376928,545,1,Yes
S-Class,2023,Global,Red,Petrol,384365,512,1,No
GLE,2021,Global,White,Diesel,100557,381,1,Yes
GLE,2022,Global,Yellow,Petrol,151012,268,1,No
S-Class,2022,Global,White,Petrol,259957,668,1,Yes
G-Class,2022,Global,Black,Petrol,223714,522,1,Yes
C-Class,2021,Global,Yellow,Petrol,39544,474,1,Yes
CLA,2022,Global,Black,Diesel,49071,335,1,Yes
GLE,2021,Global,Black,Petrol,90231,387,1,Yes
GLE,2025,Global,Black,Petrol,131482,455,1,Yes
A-Class,2025,Global,White,Diesel,66080,392,1,Yes
C-Class,2022,Global,Black,Petrol,85338,341,1,No
GLC,2021,Global,Black,Petrol,127673,479,1,Yes
CLA,2021,Global,White,Diesel,62385,352,1,No
E-Class,2022,Global,Black,Petrol,93724,360,1,No
GLE,2025,Global,White,Hybrid,149367,461,1,Yes
GLS,2024,Global,Blue,Electric,152224,444,1,Yes
C-Class,2020,Global,White,Petrol,80722,407,1,No
GLC,2023,Global,White,Petrol,122878,452,1,Yes
GLE,2020,Global,Black,Diesel,132151,525,1,Yes
C-Class,2020,Global,Silver,Petrol,60009,303,1,Yes
S-Class,2022,Global,Grey,Petrol,186871,344,1,No
GLC,2022,Global,Red,Petrol,71654,387,1,Yes
GLS,2020,Global,Black,Diesel,304135,418,1,Yes
A-Class,2020,Global,White,Petrol,45017,281,1,Yes
CLA,2022,Global,Black,Petrol,91503,238,1,Yes
GLC,2022,Global,Black,Electric,145687,406,1,Yes
G-Class,2020,Global,Blue,Petrol,338539,427,1,Yes
E-Class,2025,Global,Black,Electric,69146,396,1,Yes
GLA,2025,Global,Silver,Petrol,66984,390,1,Yes
GLE,2020,Global,Grey,Petrol,114844,595,1,Yes
A-Class,2023,Global,White,Petrol,50971,198,1,Yes
AMG S 63,2022,Global,Grey,Diesel,365963,810,1,No
CLA,2021,Global,Black,Diesel,46082,351,1,No
GLB,2023,Global,Grey,Hybrid,76572,401,1,No
A-Class,2021,Global,Black,Diesel,55163,189,1,Yes
GLC,2020,Global,Grey,Petrol,73351,483,1,Yes
E-Class,2023,Global,White,Hybrid,65820,500,1,Yes
C-Class,2025,Global,Black,Hybrid,80602,313,1,Yes
A-Class,2025,Global,Yellow,Petrol,74804,273,1,Yes
E-Class,2024,Global,White,Electric,79560,424,1,Yes
GLE,2024,Global,Black,Hybrid,81686,287,1,Yes
CLA,2021,Global,White,Petrol,81760,345,1,Yes
A-Class,2023,Global,Grey,Petrol,39455,303,1,Yes
GLC,2020,Global,Silver,Petrol,149654,478,1,Yes
C-Class,2020,Global,White,Petrol,53331,413,1,Yes
GLC,2021,Global,Silver,Hybrid,79971,498,1,Yes
C-Class,2023,Global,White,Petrol,46790,417,1,Yes
S-Class,2024,Global,White,Petrol,322720,780,1,No
GLA,2022,Global,White,Hybrid,76118,231,1,Yes
S-Class,2020,Global,Black,Petrol,295413,312,1,Yes
GLE,2023,Global,Red,Petrol,120117,411,1,Yes
E-Class,2024,Global,Blue,Hybrid,95391,270,1,Yes
C-Class,2020,Global,White,Diesel,61663,305,1,Yes
C-Class,2025,Global,Black,Hybrid,64218,343,1,Yes
GLS,2023,Global,White,Petrol,319472,368,1,Yes
GLB,2022,Global,Brown,Diesel,79168,233,1,Yes
C-Class,2023,Global,White,Petrol,81941,249,1,Yes
GLE,2022,Global,Blue,Petrol,94879,415,1,Yes
GLE,2021,Global,White,Petrol,104731,505,1,Yes
GLC,2024,Global,Grey,Diesel,151451,509,1,Yes
CLA,2021,Global,Black,Petrol,88405,365,1,Yes
GLA,2024,Global,Grey,Electric,94012,173,1,Yes
GLE,2020,Global,Black,Petrol,95281,357,1,Yes
GLS,2022,Global,Silver,Diesel,336371,530,1,Yes
CLA,2021,Global,White,Petrol,70892,339,1,Yes
E-Class,2021,Global,Black,Electric,37732,552,1,Yes
GLA,2022,Global,White,Diesel,43817,302,1,Yes
GLA,2024,Global,Blue,Electric,48613,189,1,Yes
GLA,2022,Global,Red,Electric,63763,353,1,Yes
CLA,2025,Global,Black,Electric,55167,313,1,Yes
GLE,2024,Global,Green,Petrol,92686,579,1,Yes
A-Class,2025,Global,White,Diesel,72576,312,1,Yes
CLA,2021,Global,White,Petrol,74824,220,1,Yes
GLC,2024,Global,White,Petrol,88077,328,1,Yes
GLA,2020,Global,Grey,Diesel,69599,279,1,No
A-Class,2021,Global,Blue,Petrol,42935,209,1,Yes
A-Class,2023,Global,White,Electric,52730,221,1,Yes
CLA,2025,Global,White,Hybrid,55324,253,1,Yes
GLA,2022,Global,Silver,Diesel,67637,375,1,Yes
A-Class,2022,Global,Black,Petrol,47975,374,1,Yes
CLS,2025,Global,Black,Petrol,46510,496,1,Yes
A-Class,2022,Global,White,Hybrid,65790,281,1,Yes
E-Class,2020,Global,White,Diesel,51620,263,1,Yes
E-Class,2021,Global,White,Diesel,68009,326,1,Yes
AMG A 45,2021,Global,Grey,Petrol,127350,419,1,No
S-Class,2024,Global,Silver,Petrol,334339,538,1,Yes
C-Class,2025,Global,Yellow,Petrol,63430,504,1,Yes
C-Class,2023,Global,Grey,Hybrid,67820,285,1,Yes
E-Class,2024,Global,Black,Hybrid,59287,499,1,Yes
GLB,2023,Global,White,Petrol,76290,179,1,No
GLS,2023,Global,White,Hybrid,164159,492,1,No
GLB,2025,Global,Blue,Diesel,71208,236,1,No
E-Class,2020,Global,White,Diesel,46987,265,1,Yes
A-Class,2022,Global,Black,Petrol,52866,293,1,Yes
C-Class,2025,Global,Silver,Hybrid,86985,479,1,Yes
E-Class,2023,Global,Black,Electric,59852,532,1,Yes
GLC,2020,Global,White,Diesel,134823,355,1,No
GLE,2025,Global,Silver,Hybrid,162471,591,1,Yes
GLA,2024,Global,Black,Electric,87202,356,1,No
GLS,2020,Global,Grey,Diesel,344132,493,1,No
A-Class,2021,Global,White,Diesel,41979,225,1,Yes
GLC,2022,Global,Grey,Hybrid,88414,316,1,Yes
A-Class,2025,Global,Grey,Petrol,59269,421,1,Yes
A-Class,2021,Global,Silver,Petrol,83056,338,1,Yes
GLA,2020,Global,Red,Petrol,35860,387,1,Yes
C-Class,2025,Global,Yellow,Diesel,100547,353,1,No
GLC,2022,Global,Silver,Petrol,138674,212,1,Yes
C-Class,2024,Global,Black,Hybrid,42258,383,1,Yes
GLE,2025,Global,Black,Hybrid,131460,360,1,Yes
E-Class,2025,Global,Red,Petrol,51655,469,1,Yes
C-Class,2025,Global,Grey,Electric,76812,352,1,Yes
A-Class,2022,Global,Grey,Petrol,43864,373,1,Yes
GLE,2020,Global,Silver,Petrol,63313,563,1,Yes
E-Class,2020,Global,White,Diesel,49780,576,1,Yes
A-Class,2023,Global,White,Petrol,84633,164,1,Yes
AMG A 45,2020,Global,Silver,Petrol,193880,400,1,Yes
E-Class,2022,Global,Green,Diesel,46914,386,1,Yes
GLE,2023,Global,Yellow,Hybrid,158919,395,1,Yes
CLS,2021,Global,Black,Petrol,72802,446,1,Yes
GLE,2023,Global,Black,Hybrid,123173,386,1,Yes
GLS,2024,Global,White,Petrol,397831,603,1,Yes
GLB,2021,Global,Blue,Petrol,54121,219,1,Yes
GLE,2025,Global,Black,Hybrid,159070,302,1,Yes
AMG A 45,2022,Global,White,Petrol,268192,414,1,Yes
GLS,2025,Global,Silver,Hybrid,382142,371,1,Yes
E-Class,2021,Global,Blue,Diesel,73251,215,1,Yes
A-Class,2021,Global,White,Hybrid,86820,398,1,Yes
C-Class,2022,Global,White,Diesel,68267,233,1,Yes
GLE,2022,Global,Silver,Petrol,110402,499,1,Yes
E-Class,2025,Global,Black,Hybrid,82199,553,1,Yes
GLA,2021,Global,Black,Petrol,61807,284,1,No
CLS,2021,Global,Black,Petrol,43794,377,1,Yes
GLA,2022,Global,Black,Petrol,88831,253,1,Yes
C-Class,2025,Global,Red,Electric,87006,238,1,Yes
GLB,2021,Global,Red,Diesel,51104,241,1,Yes
GLB,2022,Global,Silver,Petrol,38665,239,1,No
A-Class,2022,Global,Blue,Diesel,68966,199,1,Yes
GLC,2022,Global,Black,Petrol,122779,301,1,Yes
CLA,2025,Global,Red,Diesel,72615,336,1,Yes
C-Class,2022,Global,Red,Petrol,70192,257,1,Yes
GLS,2022,Global,Black,Petrol,328577,333,1,Yes
GLC,2025,Global,Black,Hybrid,117038,489,1,Yes
GLE,2021,Global,Black,Diesel,126954,611,1,Yes
GLC,2023,Global,White,Petrol,85028,226,1,Yes
G-Class,2021,Global,Grey,Petrol,336678,472,1,Yes
CLA,2024,Global,Black,Petrol,71676,260,1,Yes
A-Class,2021,Global,Red,Petrol,45300,153,1,Yes
GLA,2025,Global,Silver,Electric,63343,207,1,Yes
A-Class,2022,Global,Black,Diesel,62410,387,1,Yes
GLC,2021,Global,Grey,Petrol,97269,287,1,Yes
GLE,2021,Global,White,Petrol,113819,512,1,Yes
GLE,2023,Global,White,Petrol,90164,437,1,Yes
GLE,2021,Global,Black,Petrol,140625,406,1,Yes
GLC,2024,Global,White,Hybrid,165813,489,1,Yes
GLC,2024,Global,Silver,Hybrid,148185,258,1,Yes
C-Class,2025,Global,Silver,Diesel,86080,249,1,Yes
AMG A 45,2023,Global,Black,Hybrid,335279,399,1,Yes
E-Class,2025,Global,Black,Diesel,105430,224,1,Yes
A-Class,2024,Global,Blue,Petrol,69677,355,1,Yes
GLE,2024,Global,Blue,Electric,86972,417,1,Yes
E-Class,2025,Global,White,Diesel,88115,321,1,Yes
C-Class,2023,Global,White,Hybrid,56999,482,1,Yes
G-Class,2020,Global,Black,Diesel,237354,448,1,Yes
GLE,2020,Global,Grey,Petrol,99625,284,1,Yes
GLS,2021,Global,White,Petrol,300852,526,1,Yes
A-Class,2024,Global,Grey,Petrol,65675,210,1,Yes
GLE,2023,Global,Red,Petrol,69732,375,1,Yes
C-Class,2025,Global,Red,Hybrid,92732,405,1,Yes
GLA,2021,Global,White,Petrol,87875,287,1,Yes
GLE,2023,Global,Black,Petrol,77762,412,1,Yes
GLC,2024,Global,Black,Petrol,101450,391,1,Yes
C-Class,2025,Global,Black,Diesel,81346,418,1,Yes
GLC,2022,Global,Blue,Petrol,95515,274,1,No
A-Class,2023,Global,Silver,Petrol,74753,416,1,Yes
C-Class,2020,Global,White,Petrol,73901,258,1,Yes
A-Class,2021,Global,Silver,Hybrid,58393,267,1,No
A-Class,2025,Global,Silver,Hybrid,96194,204,1,Yes
GLE,2024,Global,White,Diesel,158760,339,1,Yes
AMG GT,2022,Global,Red,Petrol,215660,562,1,Yes
AMG E 63,2022,Global,Silver,Hybrid,145615,590,1,Yes
GLE,2022,Global,White,Petrol,143156,344,1,Yes
GLB,2025,Global,Yellow,Hybrid,50724,265,1,Yes
GLE,2025,Global,Brown,Petrol,137214,496,1,Yes
GLC,2024,Global,White,Hybrid,74363,361,1,Yes
GLS,2025,Global,Black,Hybrid,185929,516,1,Yes
A-Class,2025,Global,Black,Petrol,99984,296,1,No
GLC,2020,Global,Black,Petrol,62716,331,1,Yes
AMG GT,2023,Global,White,Hybrid,147815,699,1,Yes
E-Class,2020,Global,Grey,Petrol,36625,287,1,Yes
E-Class,2024,Global,Black,Diesel,95502,507,1,Yes
GLA,2023,Global,Brown,Petrol,44398,318,1,Yes
GLB,2024,Global,Grey,Petrol,98392,185,1,Yes
E-Class,2022,Global,Black,Petrol,71122,307,1,Yes
A-Class,2025,Global,Silver,Petrol,63559,369,1,Yes
GLC,2022,Global,Grey,Petrol,123587,206,1,Yes
GLS,2025,Global,Grey,Electric,141674,338,1,Yes
GLE,2024,Global,Black,Diesel,127212,482,1,Yes
GLE,2024,Global,White,Petrol,77375,416,1,No
GLC,2023,Global,Black,Diesel,107855,461,1,Yes
GLC,2024,Global,Brown,Electric,128061,359,1,Yes
GLA,2025,Global,Black,Hybrid,54979,371,1,Yes
GLS,2022,Global,Blue,Hybrid,260429,529,1,Yes
C-Class,2020,Global,Black,Petrol,84853,406,1,Yes
GLC,2023,Global,Brown,Hybrid,134732,368,1,Yes
GLB,2022,Global,White,Petrol,70376,382,1,Yes
C-Class,2024,Global,Grey,Diesel,80510,280,1,Yes
C-Class,2022,Global,White,Hybrid,74709,502,1,Yes
AMG GT,2023,Global,White,Petrol,288589,687,1,Yes
E-Class,2025,Global,Red,Petrol,104045,408,1,No
GLC,2020,Global,Silver,Diesel,141399,364,1,No
GLC,2021,Global,Silver,Petrol,116658,233,1,Yes
GLE,2021,Global,Black,Petrol,119140,314,1,Yes
E-Class,2025,Global,Black,Petrol,42539,501,1,No
E-Class,2023,Global,Orange,Hybrid,40739,326,1,No
E-Class,2021,Global,Grey,Petrol,49814,230,1,Yes
C-Class,2022,Global,Blue,Hybrid,40433,468,1,Yes
CLA,2025,Global,Black,Diesel,88013,417,1,No
GLE,2024,Global,Black,Petrol,105349,491,1,No
E-Class,2020,Global,Grey,Petrol,77353,580,1,Yes
GLE,2025,Global,Yellow,Electric,77821,578,1,Yes
GLB,2023,Global,White,Diesel,58159,223,1,Yes
GLC,2023,Global,Red,Petrol,148304,392,1,Yes
E-Class,2022,Global,Blue,Diesel,49555,423,1,Yes
GLE,2021,Global,Silver,Diesel,71943,508,1,Yes
GLE,2022,Global,Grey,Petrol,128347,579,1,Yes
AMG C 63,2020,Global,White,Hybrid,241217,496,1,Yes
E-Class,2024,Global,Grey,Petrol,54657,324,1,Yes
A-Class,2025,Global,Yellow,Electric,94003,231,1,Yes
CLS,2022,Global,White,Hybrid,72695,481,1,Yes
C-Class,2023,Global,Grey,Petrol,47901,451,1,Yes
C-Class,2023,Global,White,Diesel,78566,304,1,Yes
E-Class,2021,Global,Black,Petrol,38524,286,1,Yes
GLE,2023,Global,White,Electric,121783,389,1,No
C-Class,2021,Global,Red,Petrol,38331,473,1,Yes
C-Class,2023,Global,Silver,Petrol,80908,286,1,Yes
GLC,2020,Global,White,Diesel,88314,226,1,Yes
C-Class,2024,Global,Black,Petrol,51540,227,1,No
GLE,2023,Global,Black,Petrol,110414,308,1,Yes
GLS,2021,Global,Black,Petrol,177378,609,1,Yes
GLA,2023,Global,Black,Petrol,84824,201,1,No
E-Class,2024,Global,Silver,Petrol,62924,584,1,Yes
GLS,2023,Global,Black,Petrol,337608,457,1,Yes
E-Class,2022,Global,Black,Hybrid,66314,294,1,Yes
GLC,2025,Global,Black,Petrol,113825,203,1,Yes
A-Class,2023,Global,Grey,Electric,82068,352,1,Yes
GLB,2022,Global,Black,Petrol,47822,250,1,Yes
GLE,2023,Global,White,Petrol,119069,275,1,Yes
C-Class,2025,Global,White,Electric,80026,202,1,Yes
A-Class,2024,Global,Black,Hybrid,60470,228,1,Yes
CLA,2022,Global,Red,Diesel,66392,227,1,Yes
GLB,2022,Global,Silver,Petrol,38421,290,1,Yes
GLB,2022,Global,White,Petrol,76302,322,1,Yes
C-Class,2023,Global,Red,Petrol,56570,289,1,Yes
S-Class,2024,Global,Black,Petrol,215412,416,1,Yes
GLC,2023,Global,Grey,Hybrid,75009,498,1,No
GLS,2020,Global,White,Petrol,346258,349,1,No
GLA,2020,Global,Grey,Petrol,47699,245,1,Yes
A-Class,2022,Global,Silver,Hybrid,52233,326,1,Yes
GLA,2024,Global,Black,Diesel,97344,168,1,Yes
GLC,2025,Global,Black,Hybrid,138565,454,1,No
GLA,2021,Global,White,Diesel,75175,219,1,Yes
E-Class,2021,Global,White,Petrol,72218,551,1,Yes
GLB,2022,Global,Blue,Petrol,69044,364,1,No
GLA,2023,Global,Blue,Petrol,73084,401,1,No
GLA,2024,Global,White,Petrol,49161,356,1,Yes
A-Class,2025,Global,Green,Hybrid,92245,393,1,Yes
A-Class,2020,Global,White,Petrol,44462,246,1,Yes
CLS,2023,Global,White,Diesel,41978,502,1,Yes
GLS,2022,Global,White,Diesel,190325,391,1,Yes
GLE,2024,Global,White,Petrol,134310,352,1,Yes
C-Class,2025,Global,White,Petrol,56482,420,1,Yes
AMG GT,2020,Global,White,Petrol,327791,693,1,Yes
GLB,2022,Global,Brown,Petrol,79331,369,1,Yes
GLC,2023,Global,Grey,Petrol,112124,246,1,Yes
GLC,2023,Global,White,Petrol,79583,422,1,Yes
A-Class,2022,Global,Black,Diesel,73334,323,1,No
C-Class,2025,Global,Silver,Electric,92517,242,1,Yes
C-Class,2025,Global,White,Hybrid,85655,283,1,Yes
C-Class,2025,Global,Blue,Petrol,92476,428,1,Yes
C-Class,2021,Global,White,Electric,56031,203,1,Yes
C-Class,2023,Global,Silver,Hybrid,53822,319,1,No
GLC,2024,Global,White,Electric,165664,359,1,Yes
E-Class,2022,Global,White,Diesel,89577,375,1,Yes
A-Class,2024,Global,Grey,Petrol,66717,266,1,Yes
A-Class,2020,Global,White,Petrol,89930,303,1,Yes
E-Class,2022,Global,Grey,Petrol,75752,470,1,Yes
GLE,2025,Global,Red,Electric,94864,419,1,No
GLC,2022,Global,White,Petrol,128951,235,1,Yes
C-Class,2021,Global,Blue,Diesel,55864,257,1,Yes
GLC,2022,Global,White,Petrol,144944,462,1,Yes
G-Class,2021,Global,Blue,Petrol,202784,426,1,Yes
E-Class,2020,Global,Grey,Petrol,36084,352,1,Yes
C-Class,2021,Global,White,Petrol,45377,390,1,Yes
G-Class,2023,Global,White,Petrol,233458,478,1,Yes
GLA,2025,Global,Grey,Hybrid,92049,311,1,Yes
A-Class,2022,Global,Black,Petrol,81080,352,1,Yes
C-Class,2020,Global,Silver,Petrol,79333,321,1,Yes
CLS,2023,Global,Brown,Petrol,83345,469,1,Yes
GLE,2020,Global,Blue,Petrol,114555,309,1,Yes
G-Class,2025,Global,Black,Hybrid,196787,533,1,Yes
